ID Cor,Nome,Código
61215,"5040011N28","#FFFFFF"
61295,"051315318001N00","#FFFFFF"
61296,"051315320101N11","#FFFF00"
61552,"5010061N00","#000000"
61553,"5010063N00","#CC9966"
61554,"5010063N01","#000000"
61555,"5010063N103","#666666"
61556,"5010067N00","#000000"
61557,"5010069N00","#999999"
61558,"5010069N111","#000000"
61559,"5010085N00","#000000"
61560,"5010099N00","#CC9933"
61561,"5010099N01","#000000"
61562,"5010099N03","#FFFFFF"
61563,"5010111N00","#000000"
61564,"5010115N00","#CC9966"
61565,"5010115N01","#000000"
61566,"5010115N03","#FFFFFF"
61567,"5010141N00","#000000"
61568,"5010141N103","#333333"
61569,"5010147N00","#000000"
61570,"5010147N111","#333333"
61571,"5010147N112","#FFFFFF"
61572,"5020013N00","#000000"
61573,"5020033N00","#000000"
61574,"5020043N00","#333333"
61575,"5020045N00","#000000"
61576,"5020045N09","#CC9966"
61577,"5020045N103","#333333"
61578,"5020101N00","#FFFFFF"
61579,"5020101N01","#000000"
61580,"5200155N00","#FFFFFF"
61581,"5200233N00","#330000"
61582,"5200233N09","#CC9966"
61583,"5200239N00","#333333"
61584,"5200239N00","#FFFFFF"
61700,"Unica","#999999"
61701,"Preto","#000000"
61702,"Off White","#FFFFFF"
61703,"Nude","#CC6600"
61704,"Branco","#FFFFFF"
61705,"Estampado N111","#FFFFFF"
61706,"Estampado Marrom","#FFCC99"
61707,"Vermelho","#FF0000"
61708,"Camel","#CC6633"
61709,"Areia N04","#FFFFCC"
61742,"Mescla N103","#999999"
61743,"Acqua N26","#CCFFFF"
61744,"Verde N28","#33CC33"
61745,"Telha N10","#996600"
62095,"Bordo","#660099"
62096,"Mostarda","#FFCC00"
62202,"CINZA-N06","#666666"
62475,"Laranja","#FF6600"
62947,"Marrom","#996600"
62948,"Amarelo","#FFFF00"
62949,"Coral","#FF0033"
62950,"Royal","#3333FF"
63043,"5010171N00","#FFFFFF"
63044,"5010171-N00","#FFFFFF"
63092,"Cinza","#999999"
63093,"Azul","#0000FF"
63095,"Pérola","#FFFFCC"
63096,"Pink","#FF00CC"
63100,"Marinho","#000099"
63101,"Bege","#FFFF99"
63111,"Verde1","#33CC99"
63115,"Bordo1","#FF0000"
63117,"Verde","#336633"
63264,"Pessego","#FF9966"
63325,"Kaki","#FFCC99"
63429,"Estampa Congo","#FFCC33"
63430,"Estampa Cane","#FFCC33"
63436,"Estampa Mistura Cavali","#000000"
63437,"Rosa","#FF99CC"
63441,"Estampa Zebra Cavali","#000000"
63445,"Ocre","#FF9900"
63447,"Estampa Onça Cavali","#FFFFFF"
63449,"Peonia","#FFFF99"
63453,"Avela","#CC9933"
63473,"Estopa","#FFCC33"
63533,"Snake Black","#000000"
63537,"Congo","#FFCC33"
63830,"Estampa Onça Black White","#CCCCFF"
63923,"Estampa Black White","#FFFFFF"
63924,"Estampa Snake Black","#000000"
63939,"Natural","#FFFFCC"
63969,"Chumbo","#666666"
64065,"PB Listras","#000000"
64068,"Est. Folhagem Citrica","#66CC33"
64069,"Azul Cancun","#33CCFF"
64073,"Est. Abstract Gold","#FFFF99"
64174,"Estampa Tunisia","#FF9933"
64344,"Estampa Folhagem Citrica","#66FF00"
64345,"Turquesa","#00CCCC"
64346,"Rose","#FFCCCC"
64349,"Salmão","#FFCCCC"
64738,"Listrado","#000000"
64739,"Van Gogh","#66CC99"
64740,"Shitara","#CCFF99"
64741,"Outline","#33CCCC"
64751,"Estampado","#666633"
64755,"Off White Bordado","#FFFFCC"
64942,"Caramelo","#FFFF66"
65174,"Alvejado","#FFFFFF"
65185,"Infinito","#003399"
